id	sent_nr	sent	manual_anaphoras	non-12-per_anaphoras	has_anaphoras	has_unresolved_ana	has_resolved_ana	sbn_anaphoras	drc_anaphoras
d0349_p49	20	He uses his belt on you.	he(?), his(-2), you(?)	he(?), his(-2)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '8', '11')]]]
d0349_p51	21	He's broken his wrists very badly.	he(?), his(-2)	he(?), his(-2)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '12', '15')]]]
d0349_p52	22	I am touched deeply in places.	I(?)		FALSE	FALSE	FALSE	[]	[]
d0349_p53	23	I don't want to hear it.	I(?), it(?)	it(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p54	24	I knew I heard your voice.	I(?), I(-2), your(?)		FALSE	FALSE	FALSE	[]	[[[('knew', '2', '6'), ('heard', '9', '14')]]]
d0349_p55	25	I wouldn't want to miss this.	I(?), this{dem}(?)	this{dem}(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p56	26	Jack walked up to the door.			FALSE	FALSE	FALSE	[]	[]
d0349_p57	27	Ross sat back down and shivered.			FALSE	FALSE	FALSE	[]	[]
d0349_p59	28	She couldn't help feel for Alex.	she(?)	she(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p60	29	The bored looking soldier just pointed.			FALSE	FALSE	FALSE	[]	[]
d0349_p61	30	The campaign will pay for itself.	Itself(-4)	Itself(-4)	TRUE	FALSE	TRUE	[]	[]
d0349_p62	31	They're riding out to meet them.	they(?), them(-5)	they(?), them(-5)	TRUE	TRUE	TRUE	[]	[]
d0349_p63	32	We barely escaped with our lives.	we(?), our(-4)		FALSE	FALSE	FALSE	[]	[]
d0349_p64	33	We've been travelling almost three days.	we(?)		FALSE	FALSE	FALSE	[]	[]
d0349_p65	34	Alice is looking for somewhere to live.			FALSE	FALSE	FALSE	[]	[]
d0349_p66	35	Alan forgot to shave again this morning.	this{dem}(?)	this{dem}(?)	TRUE	TRUE	FALSE	[]	[[[('forgot', '5', '11'), ('this', '27', '31')]]]
d0349_p67	36	Have a carriage sent for us immediately.	us(?)		FALSE	FALSE	FALSE	[]	[]
d0349_p68	37	He probably doesn't want people to know.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p69	38	He put the fork on the table.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p70	39	I'll give him more than a slap.	I(?), him(?)	him(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p71	40	Andrew nodded and stood against the counter.			FALSE	FALSE	FALSE	[]	[]
d0349_p72	41	Looks like a walk did the trick.			FALSE	FALSE	FALSE	[]	[]
d0349_p73	42	Sam felt proud when he went home.	he(-4)	he(-4)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'Sam')]	[[[('Sam', '0', '3'), ('he', '20', '22')], [('felt', '4', '8'), ('went', '23', '27')]]]
d0349_p74	43	Scott got up and washed his plate.	his(-5)	his(-5)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Scott')]	[[[('Scott', '0', '5'), ('his', '24', '27')], [('got', '6', '9'), ('washed', '17', '23')]]]
d0349_p75	44	Simon nodded and walked into the room.			FALSE	FALSE	FALSE	[]	[]
d0349_p76	45	Steve sat down to eat his lunch.	his(-5)	his(-5)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Steve')]	[[[('Steve', '0', '5'), ('his', '22', '25')]]]
d0349_p77	46	Ted smiled and bit his bottom lip.	his(-4)	his(-4)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Ted')]	[[[('Ted', '0', '3'), ('his', '19', '22')], [('smiled', '4', '10'), ('bit', '15', '18')]]]
d0349_p78	47	Thomas stepped back and shook his head.	his(5)	his(5)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Thomas')]	[[[('Thomas', '0', '6'), ('his', '30', '33')], [('stepped', '7', '14'), ('shook', '24', '29')]]]
d0349_p79	48	Tom stood up and wiped his jeans.	his(-5)	his(-5)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Tom')]	[[[('Tom', '0', '3'), ('his', '23', '26')], [('stood', '4', '9'), ('wiped', '17', '22')]]]
d0349_p80	49	Tony stopped off at his first delivery.	his(-4)	his(-4)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Tony')]	[[[('Tony', '0', '4'), ('his', '20', '23')]]]
d0349_p81	50	Normally they want to cut things up.	they(?)	they(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p82	51	Powerful in the wrong hands, is that.	that{dem}(?)	that{dem}(?)	TRUE	TRUE	FALSE	[]	[[[('Powerful', '0', '8'), ('that', '32', '36')]]]
d0349_p83	52	She had refused to leave her home.	she(?), her(5)	she(?), her(5)	TRUE	TRUE	TRUE	[('her', 'female.n.02', '-4', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('her', '25', '28')]]]
d0349_p84	53	She hid the boxes and matches well.	she(?)	she(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p85	54	The bored looking soldier continued looking bored.			FALSE	FALSE	FALSE	[]	[]
d0349_p86	55	The dead must not kill the living.			FALSE	FALSE	FALSE	[]	[]
d0349_p87	56	The prison guard walked along the row.			FALSE	FALSE	FALSE	[]	[]
d0349_p88	57	The van is your lead, follow that.	your(?), that{dem}(?)	that{dem}(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p89	58	You're getting up early in the morning.	you(?)		FALSE	FALSE	FALSE	[]	[[[("'re", '3', '6'), ('the', '27', '30')]]]
d0349_p90	59	After lunch he was told he had visitors.	he(?), he(-3)	he(?), he(-3)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'he')]	[[[('he', '12', '14'), ('he', '24', '26')], [('was', '15', '18'), ('told', '19', '23')]]]
d0349_p91	60	Albert spoke before Barbara had a chance to.			FALSE	FALSE	FALSE	[]	[]
d0349_p92	61	Come within the walls to escape the enemy.			FALSE	FALSE	FALSE	[]	[]
d0349_p93	62	Follow me closely and watch for their leader.	me(?), their(?)	their(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p94	63	He called out but she did not move.	he(?), she(?)	he(?), she(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p95	64	He sat down and began to eat breakfast.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('sat~down', '3', '11'), ('began', '16', '21')]]]
d0349_p96	65	He slammed the knife down on the lamb.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[]
d0349_p97	66	He staggered into the chair at his desk.	he(?), his(-6)	he(?), his(-6)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-4', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '31', '34')]]]
d0349_p98	67	I do not spare the birds a killing.	I(?)		FALSE	FALSE	FALSE	[]	[]
d0349_p99	68	I think our friend's demands are well justified.	I(?), our(?)		FALSE	FALSE	FALSE	[]	[[[('think', '2', '7'), ('are', '29', '32')]]]
d0350_p00	69	Let us leave these poor people in peace.	us(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p01	70	Walter closed the door and took a breath.			FALSE	FALSE	FALSE	[]	[]
d0350_p02	71	William sat down and tucked into his breakfast.	his(-6)	his(-6)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'sit_down.v.01', 'down')]	[[[('William', '0', '7'), ('his', '33', '36')]]]
d0350_p03	72	Alec stood against the wall to steady himself.	himself(-7)	himself(-7)	TRUE	FALSE	TRUE	[]	[]
d0350_p04	73	No-one else had dared step within the ring.	No-one else(?)	No-one else(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p05	74	None of the city people dress like that.	that{dem}(?)	that{dem}(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p06	75	She saw the throwing knife in his hand.	she(?), his(?)	she(?), his(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p07	76	She was smiling in the dark, teeth flashing.	she(?)	she(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p08	77	Shut your smart foul mouth and sit down.	your(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p09	78	Tell me what really happened to the truck.	me(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p10	79	The door was opened and Alexander walked out.			FALSE	FALSE	FALSE	[]	[]
d0350_p11	80	There were choked screams and shouts of dismay.			FALSE	FALSE	FALSE	[]	[]
d0350_p12	81	There will be men to kill either way.			FALSE	FALSE	FALSE	[]	[]
d0350_p13	82	They were definitely holding hands underneath the table.	they(?)	they(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p14	83	Claudia still teaches and still claims to hate it.	it(-6)	it(-6)	TRUE	FALSE	TRUE	[]	[[[('teaches', '14', '21'), ('claims', '32', '38')]]]
d0350_p15	84	Burn him now, don't wait for him to escape.	him(?), him(-5)	him(?), him(-5)	TRUE	TRUE	TRUE	[('him', 'male.n.02', '-5', 'male.n.02', 'him')]	[]
d0350_p16	85	Don't die of cold before you die in battle.	you(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p17	86	Good God, if you are watching, give me strength.	you(-2), me(?)		FALSE	FALSE	FALSE	[]	[[[('are', '17', '20'), ('give', '31', '35')]]]
d0350_p18	87	He heaved his shoulders and swung the axe again.	he(?), his(-2)	he(?), his(-2)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '10', '13')], [('heaved', '3', '9'), ('swung', '28', '33')]]]
d0350_p19	88	He is after glory and heads for his hall.	he(?), his(-7)	he(?), his(-7)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-6', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '32', '35')], [('is~after', '3', '11'), ('heads', '22', '27')]]]
d0350_p20	89	He just wished he could talk to his dad.	he(?), he(-3), his(-4)	he(?), he(-3), his(-4)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'He'), ('his', 'male.n.02', '-6', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('he', '15', '17'), ('his', '32', '35')]]]
d0350_p21	90	He lay his sword aside and extended his hands.	he(?), his(-2), his(-5)	he(?), his(-2), his(-5)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He'), ('his', 'male.n.02', '-8', 'male.n.02', 'He')]	[[[('lay', '3', '6'), ('extended', '27', '35')], [('his', '36', '39'), ('He', '0', '2'), ('his', '7', '10')]]]
d0350_p22	91	He sighed and walked back to the wood shop.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('sighed', '3', '9'), ('walked', '14', '20')]]]
d0350_p23	92	He smiled when she let out a big yawn.	he(?), she(?)	he(?), she(?)	TRUE	TRUE	FALSE	[]	[[[('smiled', '3', '9'), ('let', '19', '22')]]]
d0350_p24	93	He was leaning against his truck smoking a joint.	he(?), his(-4)	he(?), his(-4)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-4', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '23', '26')]]]
d0350_p25	94	I was thinking of getting the band together again.	I(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p26	95	It is a narrow ship, much like our own.	it(?), our(?)	it(?)	TRUE	TRUE	FALSE	[]	[[[('It', '0', '2'), ('our', '31', '34')], [('It', '0', '2'), ('own', '35', '38')]]]
d0350_p27	96	Arthur placed the bars of chocolate on the counter.			FALSE	FALSE	FALSE	[]	[]
d0350_p28	97	John gave Bernard a hard slap on the head.			FALSE	FALSE	FALSE	[]	[]
d0350_p29	98	Let's get out and I'll buy you a drink.	s[us](?), I(-4), you(-6)		FALSE	FALSE	FALSE	[]	[]
d0350_p30	99	Let's have the gates closed and go home early.	s[us](?)		FALSE	FALSE	FALSE	[]	[]
d0350_p31	100	Andrew closed the office door on the way out.			FALSE	FALSE	FALSE	[]	[]
d0350_p32	101	Charles felt sick to the pit of his stomach.	his(-7)	his(-7)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Charles')]	[[[('Charles', '0', '7'), ('his', '32', '35')]]]
d0350_p33	102	Christopher groaned and lay his hands across his stomach.	his(-4), his(-3)	his(-4), his(-3)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Christopher'), ('his', 'male.n.02', '-7', 'male.n.02', 'Christopher')]	[[[('groaned', '12', '19'), ('lay', '24', '27')], [('his', '45', '48'), ('his', '28', '31')], [('his', '45', '48'), ('Christopher', '0', '11'), ('his', '28', '31')]]]
d0350_p34	103	Dave kicked him in the stomach and Paul groaned.	him(+5)	him(+5)	TRUE	FALSE	TRUE	[('him', 'male.n.02', '-3', 'male.n.02', 'Dave')]	[]
d0350_p35	104	Dexter opened his letter and found a photograph inside.	his(-2)	his(-2)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Dexter')]	[[[('Dexter', '0', '6'), ('his', '14', '17')], [('opened', '7', '13'), ('found', '29', '34')]]]
d0350_p36	105	Duncan took a breath and wanted to be sick.			FALSE	FALSE	FALSE	[]	[]
d0350_p37	106	Edward washed his hands and flicked water at Bob.	his(-2)	his(-2)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Edward')]	[[[('Edward', '0', '6'), ('his', '14', '17')], [('washed', '7', '13'), ('flicked', '28', '35')]]]
d0350_p38	107	She turned and saw him standing in her path.	she(?), him(?), her(-7)	she(?), him(?), her(-7)	TRUE	TRUE	TRUE	[('her', 'female.n.02', '-7', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('her', '35', '38')], [('turned', '4', '10'), ('saw', '15', '18')]]]
d0350_p39	108	They turned round just as Frankie walked toward them.	they(?), them(-8)	they(?), them(-8)	TRUE	TRUE	TRUE	[]	[[[('They', '0', '4'), ('them', '48', '52')], [('turned~round', '5', '17'), ('walked', '34', '40')]]]
d0350_p40	109	Underneath the table her hand was gripping the chair.	her(?)	her(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p41	110	Whether Peter heard him or not Gabriel didn't care.	him(?)	him(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p42	111	You give me a lead and I'll follow it.	you(?), me(?), I(-4), it(-4)	it(-4)	TRUE	TRUE	TRUE	[('it', 'entity.n.01', '-4', 'lead.n.03', 'lead')]	[[[('a', '12', '13'), ('it', '35', '37')]]]
d0350_p43	112	All the bowls from the empty tables are cleared up.			FALSE	FALSE	FALSE	[]	[]
d0350_p44	113	His dark hair was just visible under his white hat.	his(?), his(-7)	his(?), his(-7)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-5', 'hair.n.01', 'hair')]	[[[('His', '0', '3'), ('his', '37', '40')]]]
d0350_p45	114	His men will not follow him and they are few.	his(?), him(-5), they(-6)	his(?), him(-5), they(-6)	TRUE	TRUE	TRUE	[('him', 'male.n.02', '-4', 'person.n.01', 'men')]	[[[('His', '0', '3'), ('him', '24', '27')], [('His', '0', '3'), ('they', '32', '36')], [('men', '4', '7'), ('they', '32', '36')]]]
d0350_p46	115	I'll break your neck if you don't fix that water.	I(?), your(?), you(-3), that{dem}(?)	that{dem}(?)	FALSE	FALSE	FALSE	[]	[]
d0350_p47	116	Ian gave Geoffrey a hard slap across his right ear.	his(-5)	his(-5)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Geoffrey')]	[[[('Geoffrey', '9', '17'), ('his', '37', '40')]]]
d0350_p48	117	Jake smiled again at his baby daughter, she was perfect.	his(-4), she(-1)	his(-4), she(-1)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Jake'), ('she', 'female.n.02', '-2', 'person.n.01', 'daughter')]	[[[('Jake', '0', '4'), ('his', '21', '24')], [('smiled', '5', '11'), ('was', '44', '47')], [('his', '21', '24'), ('she', '40', '43')]]]
d0350_p49	118	Jimmy liked the fact they were calling him Jim.	they(?), him(-7)	they(?), him(-7)	TRUE	TRUE	TRUE	[('him', 'male.n.02', '-7', 'male.n.02', 'Jimmy')]	[[[('Jimmy', '0', '5'), ('him', '39', '42')], [('liked', '6', '11'), ('were', '26', '30')]]]
d0350_p50	119	Brian sniffed and wiped his grubby hand across his nose.	his(-4), his(-4)	his(-4), his(-4)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Brian'), ('his', 'male.n.02', '-8', 'male.n.02', 'Brian')]	[[[('sniffed', '6', '13'), ('wiped', '18', '23')], [('his', '47', '50'), ('his', '24', '27')], [('his', '47', '50'), ('Brian', '0', '5'), ('his', '24', '27')]]]
d0350_p51	120	Phil let him go and Charlie fell to the ground.	him(+3)	him(+3)	TRUE	FALSE	TRUE	[('him', 'male.n.02', '-3', 'male.n.02', 'Phil')]	[]
d0350_p52	121	Let me through and you'll hear nothing more of it.	me(?), you(?), it(?)	it(?)	TRUE	TRUE	FALSE	[('it', 'entity.n.01', '-1', 'entity.n.01', 'more')]	[]
d0350_p53	122	Men could be paid to do all sorts of things.			FALSE	FALSE	FALSE	[]	[]
d0350_p54	123	Gilbert sat as still as he could nursing his lip.	he(-5), his(-3)	he(-5), his(-3)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-3', 'male.n.02', 'Gilbert'), ('his', 'male.n.02', '-6', 'male.n.02', 'Gilbert')]	[[[('he', '24', '26'), ('his', '41', '44')], [('Gilbert', '0', '7'), ('he', '24', '26'), ('his', '41', '44')]]]
d0350_p55	124	Jacques sighed and tried to move out of the way.			FALSE	FALSE	FALSE	[]	[]
d0350_p56	125	Jamie took a cigarette and Andy gave him a light.	him(-7)	him(-7)	TRUE	FALSE	TRUE	[('him', 'male.n.02', '-7', 'male.n.02', 'Jamie')]	[]
d0350_p57	126	Joseph walked into the office and removed his flat cap.	his(-7)	his(-7)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-6', 'male.n.02', 'Joseph')]	[[[('Joseph', '0', '6'), ('his', '42', '45')], [('walked', '7', '13'), ('removed', '34', '41')]]]
d0350_p58	127	She would soon be found if she tried to hide.	she(?), she(-6)	she(?), she(-6)	TRUE	TRUE	TRUE	[('she', 'female.n.02', '-5', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('she', '27', '30')]]]
d0350_p59	128	The brothers stood up and came down from the platform.			FALSE	FALSE	FALSE	[]	[]
d0350_p60	129	Anthony was approached, just as he had predicted, in the park.	he(-5)	he(-5)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'Anthony')]	[[[('Anthony', '0', '7'), ('he', '32', '34')], [('was', '8', '11'), ('predicted', '39', '48')]]]
d0350_p61	130	Despite what Frank had told her Ellen thanked the young soldier.	her(+1)	her(+1)	TRUE	FALSE	TRUE	[]	[]
d0350_p62	131	He called earlier and I already arranged to go swimming tomorrow.	he(?), I(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('called', '3', '9'), ('arranged', '32', '40')]]]
d0350_p63	132	He drove his truck home and walked down to the village.	he(?), his(-2)	he(?), his(-2)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '9', '12')], [('drove', '3', '8'), ('walked', '28', '34')]]]
d0350_p64	133	He held his mother tight and she cried into his chest.	he(?), his(-2), she(-3), his(-7)	he(?), his(-2), she(-3), his(-7)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He'), ('she', 'female.n.02', '-3', 'person.n.01', 'mother'), ('his', 'male.n.02', '-10', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '8', '11')], [('He', '0', '2'), ('his', '8', '11'), ('his', '44', '47')], [('held', '3', '7'), ('cried', '33', '38')], [('his', '8', '11'), ('she', '29', '32')]]]
d0350_p65	134	He went to the door and walked out of the room.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('went', '3', '7'), ('walked', '24', '30')]]]
d0350_p66	135	His helmet was lost but he could still do some damage.	his(?), he(-5)	his(?), he(-5)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-3', 'helmet.n.01', 'helmet')]	[[[('His', '0', '3'), ('he', '24', '26')]]]
d0350_p67	136	Ken just hoped he wasn't taking his temper out on Chris.	he(-3), his(-3)	he(-3), his(-3)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'Ken'), ('his', 'male.n.02', '-7', 'male.n.02', 'Ken')]	[[[('Ken', '0', '3'), ('he', '15', '17'), ('his', '32', '35')], [('hoped', '9', '14'), ('was', '18', '21')]]]
d0350_p68	137	Lawrence rubbed the back of his neck and hung his head.	his(-5), his(-4)	his(-5), his(-4)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-4', 'male.n.02', 'Lawrence'), ('his', 'male.n.02', '-8', 'male.n.02', 'Lawrence')]	[[[('rubbed', '9', '15'), ('hung', '41', '45')], [('his', '46', '49'), ('his', '28', '31')], [('his', '46', '49'), ('Lawrence', '0', '8'), ('his', '28', '31')]]]
d0350_p69	138	Lewis sat down and Lucy laid her hand on his cheek.	her(-2), his(-9)	her(-2), his(-9)	TRUE	FALSE	TRUE	[('her', 'female.n.02', '-3', 'female.n.02', 'Lucy'), ('his', 'male.n.02', '-8', 'male.n.02', 'Lewis')]	[[[('Lewis', '0', '5'), ('his', '41', '44')], [('sat', '6', '9'), ('laid', '24', '28')], [('Lucy', '19', '23'), ('her', '29', '32')]]]
d0350_p70	139	Matthew stood against the wall with his hands behind his back.	his(-6), his(-3)	his(-6), his(-3)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Matthew'), ('his', 'male.n.02', '-8', 'male.n.02', 'Matthew')]	[[[('his', '53', '56'), ('his', '36', '39')], [('his', '53', '56'), ('Matthew', '0', '7'), ('his', '36', '39')]]]
d0350_p71	140	Run along home now and bring us some men to kill.	us(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p72	141	She just kept telling herself he had to learn a lesson.	she(?), herself(-4), he(?)	she(?), herself(-4), he(?)	TRUE	TRUE	TRUE	[('herself', 'female.n.02', '-4', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('herself', '22', '29')]]]
d0350_p73	142	She wound up talking to Barry about her time in India.	she(?), her(-7)	she(?), her(-7)	TRUE	TRUE	TRUE	[('her', 'female.n.02', '-5', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('her', '36', '39')]]]
d0350_p74	143	The gate was double, one huge mass of wood following another.			FALSE	FALSE	FALSE	[]	[]
d0350_p75	144	The gathered villagers took a step back, almost as one man.			FALSE	FALSE	FALSE	[]	[]
d0350_p76	145	We shall arrive properly or you will never live this down.	we(?), you(?), this{dem}(?)	this{dem}(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p77	146	While they sat drinking their tea, Mick dug them a trench.	they(?), their(-3), them(-4)	they(?), their(-3), them(-4)	TRUE	TRUE	TRUE	[]	[[[('they', '6', '10'), ('them', '44', '48')], [('sat', '11', '14'), ('dug', '40', '43')]]]
d0350_p78	147	You know better than to talk to your mother like that.	you(?), your(-7), that{dem}(?)	that{dem}(?)	FALSE	FALSE	FALSE	[]	[]
d0350_p79	148	You know that I will do whatever you ask of me.	you(?), I(?), you(-7), me(-7)		FALSE	FALSE	FALSE	[]	[[[('know', '4', '8'), ('ask', '37', '40')]]]
d0350_p80	149	You shouldn't have been racing my truck in the first place.	you(?), my(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p81	150	A smile came to his lips as he thought of an idea.	his(?), he(-3)	his(?), he(-3)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-3', 'male.n.02', 'his')]	[[[('came', '8', '12'), ('thought', '31', '38')], [('his', '16', '19'), ('he', '28', '30')]]]
d0350_p82	151	All last week there was a white van parked across the street.			FALSE	FALSE	FALSE	[]	[]
d0350_p83	152	Finally Maria sat down with a cup of tea and a sandwich.			FALSE	FALSE	FALSE	[]	[]
d0350_p84	154	He didn't seem to mind that she was screaming in his ear.	he(?), she(?), his(-10)	he(?), she(?), his(-10)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-7', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '49', '52')], [('did', '3', '6'), ('was', '32', '35')]]]
d0350_p85	155	He drank too much at times and washed too little at times.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('drank', '3', '8'), ('washed', '31', '37')]]]
d0350_p86	156	He folded his arms across his chest and put out his lip.	he(?), his(-2), his(-3), his(-5)	he(?), his(-2), his(-3), his(-5)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He'), ('his', 'male.n.02', '-5', 'male.n.02', 'He'), ('his', 'male.n.02', '-9', 'male.n.02', 'He')]	[[[('folded', '3', '9'), ('put', '40', '43')], [('his', '48', '51'), ('his', '26', '29'), ('He', '0', '2'), ('his', '10', '13')]]]
